cohort,semester,class,course,registration_date,division,level,admission,Major,passfaildrop,grade,gender,eid,section,Instructor,Instructor type
,Spring 2021,CS3,3130,12/1/2020,U,Lower Senior,0,COMPSC-BS,Drop,W,M,E10024,S106,T010,PT
A,Spring 2021,CS1,1115,1/14/2021,U,Upper Senior,Continuing,COMPSC-BS,Fail,F,M,E10069,S118,T008,PT
,Spring 2021,CS2,3115,11/20/2020,U,Upper Senior,Continuing,INFOSCI-BS,Pass,C+,F,E10088,S103,T012,PT
A,Spring 2021,CS1,1115,12/15/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,B,F,E10194,S115,T117,TT
A,Spring 2021,CS1,1115,1/7/2021,U,Upper Senior,Readmitted,COMPSC-BS,Drop,W,F,E10406,S128,T014,PT
,Spring 2021,CS2,3115,11/18/2020,U,2nd Degree,Continuing,MULTI-BS,Pass,A,M,E10499,S116,T116,TT
,Spring 2021,CS2,3115,11/16/2020,U,Upper Senior,Continuing,INFOSCI-BS,Pass,B-,M,E10521,S106,T013,PT
,Spring 2021,CS2,3115,11/16/2020,U,Lower Senior,Continuing,MULTI-BS,Pass,B,M,E10539,S119,T112,TT
,Spring 2021,CS2,3115,11/17/2020,U,Upper Junior,Continuing,COMPSC-BS,Fail,FIN,M,E10561,S116,T116,TT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Senior,Continuing,COMPSC-BS,Fail,F,M,E10644,S119,T112,TT
,Spring 2021,CS2,3115,11/16/2020,U,Upper Senior,Continuing,COMPSC-BS,Drop,W,F,E10653,S119,T112,TT
,Spring 2021,CS2,3115,11/16/2020,U,Upper Senior,Continuing,COMPSC-BS,Pass,A-,M,E10690,S116,T116,TT
,Spring 2021,CS2,3115,11/19/2020,U,Upper Senior,Continuing,INFOSCI-BS,Pass,A,F,E10818,S103,T012,PT
,Spring 2021,CS2,3115,2/4/2021,U,Upper Junior,Continuing,COMPSC-BS,Drop,W,M,E10842,S106,T013,PT
,Spring 2021,CS2,3115,11/17/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,B,M,E10845,S119,T112,TT
,Spring 2021,CS3,3130,12/22/2020,U,Upper Junior,0,COMPSC-BS,Drop,W,M,E10851,S106,T010,PT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Senior,Continuing,COMPSC-BS,Fail,F,M,E10868,S119,T112,TT
A,Spring 2021,CS1,1115,11/20/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,A,M,E10990,S119,T117,TT
A,Spring 2021,CS1,1170,11/25/2020,U,Upper Senior,Continuing,COMPSC-BS,Pass,B,F,E11037,S108,T107,TT
A,Spring 2021,CS1,1115,12/2/2020,U,Upper Senior,Continuing,Other,Drop,W,M,E11042,S126,T104,TT
A,Spring 2021,CS1,1115,11/19/2020,U,2nd Degree,0,COMPSC-BS,Pass,A+,M,E11079,S102,T006,PT
A,Spring 2021,CS1,1115,11/23/2020,U,Lower Senior,Continuing,INFOSCI-BS,Drop,W,M,E11108,S119,T117,TT
A,Spring 2021,CS1,1115,1/5/2021,U,Lower Senior,Continuing,INFOSCI-BS,Pass,C,M,E11109,S102,T006,PT
,Spring 2021,CS3,3130,11/16/2020,U,Lower Freshman,Continuing,COMPSC-BS,Drop,W,F,E11150,S106,T010,PT
A,Spring 2021,CS1,1115,11/29/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B,M,E11163,S105,T010,PT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Junior,Continuing,INFOSCI-BS,Drop,W,M,E11180,S119,T112,TT
,Spring 2021,CS3,3130,11/16/2020,U,Lower Senior,Continuing,COMPSC-BS,Drop,W,M,E11190,S119,T116,TT
A,Spring 2021,CS1,1170,11/4/2020,U,Lower Senior,Continuing,COMPSC-BS,Pass,B+,M,E11207,S108,T107,TT
,Spring 2021,CS2,3115,12/4/2020,U,Lower Senior,Continuing,COMPSC-BS,Pass,B,M,E11207,S116,T116,TT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Senior,Continuing,COMPSC-BS,Pass,C,F,E11214,S119,T112,TT
A,Spring 2021,CS1,1170,12/14/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,A,F,E11218,S202,T107,TT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B-,M,E11225,S106,T013,PT
A,Spring 2021,CS1,1115,11/17/2020,U,Upper Senior,Continuing,Other,Fail,F,F,E11226,S113,T110,TT
,Spring 2021,CS2,3115,1/7/2021,U,Upper Senior,Continuing,INFOSCI-BS,Fail,FIN,M,E11263,S126,T009,PT
A,Spring 2021,CS1,1115,11/4/2020,U,Upper Senior,Continuing,Other,Fail,F,F,E11310,S107,T117,TT
,Spring 2021,CS2,3115,11/18/2020,U,Upper Sophomore,Continuing,UNDECL-BA,Pass,A-,M,E11408,S116,T116,TT
A,Spring 2021,CS1,1115,12/17/2020,U,Lower Senior,Continuing,COMPSC-BS,Fail,F,M,E11421,S125,T104,TT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Senior,Continuing,INFOSCI-BS,Fail,D,M,E11428,S106,T013,PT
A,Spring 2021,CS1,1115,1/28/2021,U,Lower Senior,0,Other,Drop,W,M,E11440,S122,T107,TT
A,Spring 2021,CS1,1115,11/16/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,B,M,E11453,S114,T112,TT
A,Spring 2021,CS1,1115,12/9/2020,U,Lower Senior,Continuing,INFOSCI-BS,Pass,C,M,E11487,S129,T006,PT
,Spring 2021,CS2,3115,11/18/2020,U,Lower Senior,Continuing,COMPSC-BS,Pass,A,M,E11495,S106,T013,PT
A,Spring 2021,CS1,1115,1/26/2021,U,Upper Junior,Continuing,MULTI-BS,Drop,W,M,E11530,S119,T117,TT
A,Spring 2021,CS1,1115,12/23/2020,U,Upper Junior,Continuing,UNDECL-BA,Pass,C,M,E11543,S115,T117,TT
A,Spring 2021,CS1,1115,11/18/2020,U,Lower Senior,Readmitted,COMPSC-BS,Pass,C,M,E11577,S113,T110,TT
,Spring 2021,CS3,3130,2/3/2021,U,Upper Junior,0,COMPSC-BS,Pass,C,M,E11603,S106,T010,PT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Senior,Continuing,COMPSC-BS,Pass,A,F,E11615,S126,T009,PT
,Spring 2021,CS2,3115,11/17/2020,U,Upper Junior,Continuing,INFOSCI-BS,Drop,WD,M,E11617,S119,T112,TT
A,Spring 2021,CS1,1115,11/17/2020,U,Upper Junior,Continuing,INFOSCI-BS,Pass,C+,M,E11621,S113,T110,TT
,Spring 2021,CS2,3115,11/17/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,C,M,E11628,S106,T013,PT
,Spring 2021,CS2,3115,11/17/2020,U,Upper Junior,0,COMPSC-BS,Fail,F,M,E11636,S119,T112,TT
A,Spring 2021,CS1,1115,1/14/2021,U,Upper Junior,0,Other,Pass,A-,F,E11638,S121,T101,TT
,Spring 2021,CS2,3115,11/18/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,A,M,E11644,S126,T009,PT
A,Spring 2021,CS1,1115,12/29/2020,U,Lower Sophomore,Continuing,UNDECL-BA,Drop,WN,M,E11656,S128,T014,PT
A,Spring 2021,CS1,1115,11/18/2020,U,Lower Junior,Continuing,Other,Drop,W,F,E11689,S113,T110,TT
A,Spring 2021,CS1,1115,1/2/2021,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,C,M,E11692,S126,T104,TT
A,Spring 2021,CS1,1115,11/19/2020,U,Upper Sophomore,Continuing,UNDECL-BA,Drop,W,M,E11693,S122,T107,TT
A,Spring 2021,CS1,1170,2/4/2021,U,Upper Junior,Continuing,COMPSC-BS,Drop,WN,M,E11726,S202,T107,TT
,Spring 2021,CS2,3115,2/3/2021,U,Lower Senior,Continuing,INFOSCI-BS,Pass,B,F,E11748,S119,T112,TT
A,Spring 2021,CS1,1115,2/2/2021,U,Lower Sophomore,Continuing,UNDECL-BA,Drop,W,F,E11768,S105,T010,PT
A,Spring 2021,CS1,1115,12/8/2020,U,Lower Junior,Continuing,COMPSC-BS,Fail,F,M,E11782,S105,T010,PT
A,Spring 2021,CS1,1170,1/6/2021,U,Lower Junior,Continuing,COMPSC-BS,Drop,WN,M,E11786,S202,T107,TT
,Spring 2021,CS2,3115,12/29/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B,M,E11794,S106,T013,PT
A,Spring 2021,CS1,1115,12/26/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,C,M,E11803,S115,T117,TT
A,Spring 2021,CS1,1115,12/18/2020,U,Upper Sophomore,0,COMPSC-BS,Drop,W,M,E11804,S125,T104,TT
,Spring 2021,CS2,3115,12/28/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,B-,F,E11832,S126,T009,PT
,Spring 2021,CS2,3115,1/27/2021,U,Upper Senior,Continuing,COMPSC-BS,Pass,A-,F,E11854,S116,T116,TT
,Spring 2021,CS2,3115,1/6/2021,U,Lower Junior,Continuing,COMPSC-BS,Pass,A,M,E11861,S116,T116,TT
,Spring 2021,CS2,3115,11/17/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,C,M,E11863,S119,T112,TT
A,Spring 2021,CS1,1115,2/2/2021,U,Lower Sophomore,Continuing,UNDECL-BA,Fail,C-,M,E11880,S118,T008,PT
A,Spring 2021,CS1,1115,1/7/2021,U,Upper Junior,Continuing,Other,Drop,W,F,E11919,S126,T104,TT
,Spring 2021,CS2,3115,1/7/2021,U,Lower Junior,Continuing,COMPSC-BS,Pass,B+,M,E11929,S126,T009,PT
,Spring 2021,CS2,3115,11/16/2020,U,Upper Senior,Continuing,INFOSCI-BS,Drop,W,M,E11958,S119,T112,TT
A,Spring 2021,CS1,1115,1/13/2021,U,Lower Senior,Continuing,Other,Fail,F,M,E11964,S126,T104,TT
A,Spring 2021,CS1,1115,12/17/2020,U,Upper Sophomore,0,COMPSC-BS,Drop,W,M,E11968,S119,T117,TT
,Spring 2021,CS2,3115,11/18/2020,U,Lower Junior,Continuing,INFOSCI-BS,Drop,W,F,E11983,S106,T013,PT
A,Spring 2021,CS1,1115,1/26/2021,U,Lower Senior,Continuing,MULTI-BS,Pass,B-,M,E11992,S128,T014,PT
,Spring 2021,CS3,3130,11/18/2020,U,Lower Junior,0,COMPSC-BS,Drop,W,M,E12002,S130,T001,PT
A,Spring 2021,CS1,1170,12/2/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,C,M,E12015,S202,T107,TT
A,Spring 2021,CS1,1115,11/18/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,A-,F,E12043,S114,T112,TT
,Spring 2021,CS2,3115,11/19/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,C+,M,E12056,S103,T012,PT
A,Spring 2021,CS1,1115,11/19/2020,U,Lower Freshman,Continuing,UNDECL-BA,Drop,W,M,E12059,S129,T006,PT
A,Spring 2021,CS1,1115,11/19/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,C,M,E12061,S107,T117,TT
,Spring 2021,CS2,3115,11/17/2020,U,Upper Junior,Continuing,INFOSCI-BS,Pass,B-,F,E12062,S126,T009,PT
,Spring 2021,CS2,3115,1/26/2021,U,Lower Senior,Continuing,COMPSC-BS,Pass,C+,F,E12096,S106,T013,PT
A,Spring 2021,CS1,1115,11/18/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,A,M,E12107,S114,T112,TT
,Spring 2021,CS2,3115,11/18/2020,U,Upper Sophomore,Continuing,UNDECL-BA,Pass,B+,M,E12113,S116,T116,TT
A,Spring 2021,CS1,1115,11/17/2020,U,Lower Junior,Continuing,UNDECL-BA,Pass,C,F,E12127,S113,T110,TT
A,Spring 2021,CS1,1115,1/29/2021,U,Lower Senior,Continuing,COMPSC-BS,Pass,B,F,E12132,S114,T112,TT
A,Spring 2021,CS1,1115,1/28/2021,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,B-,M,E12146,S113,T110,TT
,Spring 2021,CS2,3115,12/27/2020,U,Upper Junior,Continuing,MULTI-BS,Fail,F,M,E12155,S103,T012,PT
A,Spring 2021,CS1,1115,2/3/2021,U,Lower Freshman,Continuing,UNDECL-BA,Drop,WU,F,E12157,S122,T107,TT
,Spring 2021,CS3,3130,11/19/2020,U,Upper Junior,Continuing,COMPSC-BS,Fail,C-,M,E12178,S119,T116,TT
,Spring 2021,CS2,3115,11/20/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B,M,E12179,S116,T116,TT
A,Spring 2021,CS1,1115,1/25/2021,U,Lower Junior,Continuing,COMPSC-BS,Pass,B-,M,E12182,S121,T101,TT
A,Spring 2021,CS1,1115,1/12/2021,U,Upper Sophomore,Continuing,COMPSC-BS,Fail,D,M,E12186,S121,T101,TT
A,Spring 2021,CS1,1115,1/21/2021,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,C,M,E12212,S105,T010,PT
A,Spring 2021,CS1,1115,11/21/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,C,F,E12256,S105,T010,PT
A,Spring 2021,CS1,1115,1/4/2021,U,Upper Junior,Continuing,INFOSCI-BS,Drop,W,F,E12258,S121,T101,TT
,Spring 2021,CS2,3115,2/3/2021,U,Lower Junior,Continuing,UNDECL-BA,Drop,W,M,E12265,S119,T112,TT
,Spring 2021,CS2,3115,11/18/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,A,M,E12269,S126,T009,PT
,Spring 2021,CS2,3115,12/30/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,A,M,E12278,S116,T116,TT
A,Spring 2021,CS1,1115,12/23/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Fail,F,M,E12282,S121,T101,TT
A,Spring 2021,CS1,1115,11/17/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,C,M,E12287,S113,T110,TT
A,Spring 2021,CS1,1115,2/1/2021,U,Lower Sophomore,0,COMPSC-BS,Drop,W,M,E12292,S114,T112,TT
A,Spring 2021,CS1,1115,11/18/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,C,M,E12311,S115,T117,TT
A,Spring 2021,CS1,1115,12/21/2020,U,Lower Sophomore,Continuing,UNDECL-BA,Drop,W,M,E12335,S121,T101,TT
A,Spring 2021,CS1,1115,11/18/2020,U,Upper Sophomore,Continuing,INFOSCI-BS,Drop,W,F,E12343,S102,T006,PT
A,Spring 2021,CS1,1115,11/18/2020,U,Lower Junior,Continuing,UNDECL-BA,Pass,B-,M,E12358,S113,T110,TT
A,Spring 2021,CS1,1115,2/3/2021,U,Lower Sophomore,Continuing,UNDECL-BA,Pass,C,M,E12359,S114,T112,TT
A,Spring 2021,CS1,1115,1/3/2021,U,Lower Junior,Continuing,COMPSC-BS,Drop,WU,M,E12360,S119,T117,TT
A,Spring 2021,CS1,1115,11/4/2020,U,Upper Sophomore,Continuing,INFOSCI-BS,Drop,W,M,E12361,S107,T117,TT
A,Spring 2021,CS1,1115,11/18/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B+,M,E12362,S102,T006,PT
,Spring 2021,CS2,3115,11/18/2020,U,Lower Junior,Continuing,UNDECL-BA,Fail,D,M,E12372,S119,T112,TT
A,Spring 2021,CS1,1115,12/14/2020,U,Upper Sophomore,Continuing,Other,Drop,W,M,E12374,S122,T107,TT
A,Spring 2021,CS1,1115,11/18/2020,U,Lower Junior,Continuing,Other,Fail,D,F,E12382,S114,T112,TT
A,Spring 2021,CS1,1115,11/19/2020,U,Lower Junior,Continuing,INFOSCI-BS,Fail,F,M,E12392,S129,T006,PT
A,Spring 2021,CS1,1115,12/1/2020,U,Lower Sophomore,0,INFOSCI-BS,Pass,C,M,E12395,S125,T104,TT
A,Spring 2021,CS1,1115,11/19/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,A+,M,E12398,S114,T112,TT
A,Spring 2021,CS1,1170,11/23/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,C,M,E12402,S202,T107,TT
,Spring 2021,CS2,3115,11/16/2020,U,Upper Senior,Continuing,COMPSC-BS,Pass,A,M,E12409,S106,T013,PT
A,Spring 2021,CS1,1115,11/26/2020,U,Lower Junior,Continuing,UNDECL-BA,Fail,F,M,E12419,S115,T117,TT
A,Spring 2021,CS1,1115,12/24/2020,U,Lower Junior,Continuing,INFOSCI-BS,Drop,WD,M,E12453,S119,T117,TT
,Spring 2021,CS2,3115,1/14/2021,U,Upper Junior,Continuing,MULTI-BS,Fail,F,M,E12454,S103,T012,PT
A,Spring 2021,CS1,1115,12/31/2020,U,Lower Junior,Continuing,COMPSC-BS,Drop,WU,F,E12460,S126,T104,TT
,Spring 2021,CS2,3115,11/17/2020,U,Upper Junior,Continuing,Other,Drop,W,F,E12472,S119,T112,TT
A,Spring 2021,CS1,1115,11/17/2020,U,Upper Junior,Continuing,INFOSCI-BS,Drop,W,M,E12486,S102,T006,PT
,Spring 2021,CS3,3130,1/8/2021,U,Lower Junior,Continuing,COMPSC-BS,Fail,F,F,E12500,S126,T012,PT
,Spring 2021,CS2,3115,1/6/2021,U,Upper Junior,Continuing,COMPSC-BS,Pass,A-,F,E12521,S116,T116,TT
A,Spring 2021,CS1,1170,12/18/2020,U,Upper Junior,0,COMPSC-BS,Pass,A,M,E12524,S202,T107,TT
,Spring 2021,CS2,3115,12/28/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,A-,F,E12537,S119,T112,TT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Senior,Continuing,COMPSC-BS,Pass,B-,F,E12558,S119,T112,TT
,Spring 2021,CS3,3130,1/28/2021,U,Lower Junior,Continuing,COMPSC-BS,Fail,F,M,E12565,S119,T116,TT
A,Spring 2021,CS1,1115,11/18/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,A-,M,E12567,S114,T112,TT
A,Spring 2021,CS1,1115,1/11/2021,U,Lower Junior,0,UNDECL-BA,Pass,C,M,E12575,S126,T104,TT
A,Spring 2021,CS1,1115,11/18/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B,M,E12582,S114,T112,TT
,Spring 2021,CS2,3115,1/4/2021,U,Upper Junior,Continuing,INFOSCI-BS,Pass,B-,M,E12599,S106,T013,PT
,Spring 2021,CS2,3115,11/18/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,A,M,E12613,S126,T009,PT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Senior,Continuing,COMPSC-BS,Pass,B-,M,E12614,S103,T012,PT
,Spring 2021,CS3,3130,11/16/2020,U,Upper Senior,Continuing,COMPSC-BS,Fail,C-,M,E12631,S106,T010,PT
,Spring 2021,CS2,3115,11/19/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,B,M,E12633,S116,T116,TT
,Spring 2021,CS2,3115,11/19/2020,U,Upper Freshman,Continuing,COMPSC-BS,Pass,C,M,E12634,S106,T013,PT
A,Spring 2021,CS1,1115,1/21/2021,U,Upper Junior,Continuing,COMPSC-BS,Fail,F,M,E12642,S121,T101,TT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Sophomore,Continuing,UNDECL-BA,Drop,W,M,E12647,S126,T009,PT
,Spring 2021,CS2,3115,11/19/2020,U,Lower Sophomore,Continuing,UNDECL-BA,Pass,B-,M,E12654,S103,T012,PT
A,Spring 2021,CS1,1115,1/28/2021,U,Lower Senior,Readmitted,COMPSC-BS,Pass,A+,M,E12672,S118,T008,PT
A,Spring 2021,CS1,1115,11/18/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,C+,M,E12688,S129,T006,PT
A,Spring 2021,CS1,1115,1/14/2021,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,C,M,E12699,S126,T104,TT
A,Spring 2021,CS1,1115,12/24/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,B+,M,E12711,S118,T008,PT
A,Spring 2021,CS1,1115,11/18/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,B-,F,E12716,S113,T110,TT
A,Spring 2021,CS1,1115,11/28/2020,U,Lower Sophomore,Continuing,UNDECL-BA,Drop,W,F,E12721,S115,T117,TT
,Spring 2021,CS2,3115,11/18/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,A,M,E12728,S126,T009,PT
A,Spring 2021,CS1,1115,11/19/2020,U,Lower Sophomore,Continuing,INFOSCI-BS,Drop,W,M,E12744,S119,T117,TT
A,Spring 2021,CS1,1115,11/19/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Drop,WU,M,E12748,S102,T006,PT
A,Spring 2021,CS1,1115,11/18/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B+,M,E12752,S121,T101,TT
,Spring 2021,CS2,3115,11/18/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B,F,E12758,S103,T012,PT
,Spring 2021,CS2,3115,11/19/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,B,M,E12765,S103,T012,PT
A,Spring 2021,CS1,1115,12/28/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,A-,F,E12773,S121,T101,TT
A,Spring 2021,CS1,1115,1/1/2021,U,Upper Freshman,Continuing,COMPSC-BS,Pass,B,M,E12780,S118,T008,PT
,Spring 2021,CS2,3115,11/18/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,A,M,E12791,S126,T009,PT
,Spring 2021,CS2,3115,11/18/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B-,M,E12797,S126,T009,PT
A,Spring 2021,CS1,1115,1/22/2021,U,Upper Freshman,0,INFOSCI-BS,Drop,W,M,E12801,S121,T101,TT
,Spring 2021,CS2,3115,11/20/2020,U,Upper Sophomore,Continuing,UNDECL-BA,Fail,D+,F,E12803,S103,T012,PT
,Spring 2021,CS2,3115,11/18/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,A-,F,E12804,S126,T009,PT
,Spring 2021,CS2,3115,11/18/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B+,M,E12806,S116,T116,TT
A,Spring 2021,CS1,1115,12/26/2020,U,Upper Sophomore,Continuing,INFOSCI-BS,Pass,B+,M,E12807,S118,T008,PT
A,Spring 2021,CS1,1115,12/30/2020,U,Lower Junior,Continuing,Other,Drop,W,F,E12816,S115,T117,TT
A,Spring 2021,CS1,1115,11/18/2020,U,Upper Sophomore,Continuing,INFOSCI-BS,Pass,C,F,E12837,S102,T006,PT
A,Spring 2021,CS1,1115,11/18/2020,U,Lower Junior,0,COMPSC-BS,Pass,A+,F,E12841,S107,T117,TT
,Spring 2021,CS2,3115,11/18/2020,U,Lower Junior,0,COMPSC-BS,Pass,A+,F,E12841,S103,T012,PT
A,Spring 2021,CS1,1115,12/21/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,B,F,E12846,S126,T104,TT
,Spring 2021,CS2,3115,11/18/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,A-,M,E12847,S116,T116,TT
A,Spring 2021,CS1,1115,1/24/2021,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,A,M,E12854,S128,T014,PT
A,Spring 2021,CS1,1115,12/28/2020,U,Lower Freshman,Continuing,COMPSC-BS,Drop,WU,M,E12859,S125,T104,TT
A,Spring 2021,CS1,1115,1/4/2021,U,Lower Freshman,Continuing,UNDECL-BA,Fail,F,M,E12864,S125,T104,TT
,Spring 2021,CS2,3115,11/19/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,B-,M,E12866,S116,T116,TT
,Spring 2021,CS2,3115,12/30/2020,U,Upper Sophomore,Continuing,UNDECL-BA,Pass,A-,M,E12874,S106,T013,PT
,Spring 2021,CS2,3115,11/19/2020,U,Lower Junior,Continuing,UNDECL-BA,Pass,A,F,E12896,S103,T012,PT
A,Spring 2021,CS1,1115,1/6/2021,U,Upper Freshman,0,COMPSC-BS,Pass,C,M,E12908,S125,T104,TT
A,Spring 2021,CS1,1115,11/18/2020,U,Upper Sophomore,Continuing,UNDECL-BA,Pass,B,M,E12912,S102,T006,PT
A,Spring 2021,CS1,1115,11/19/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,B-,F,E12934,S113,T110,TT
,Spring 2021,CS2,3115,11/19/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,A-,M,E12950,S116,T116,TT
,Spring 2021,CS2,3115,11/18/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,A,M,E12962,S126,T009,PT
A,Spring 2021,CS1,1115,11/21/2020,U,Upper Freshman,Continuing,UNDECL-BA,Pass,B+,M,E12965,S113,T110,TT
,Spring 2021,CS2,3115,11/19/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,C,M,E12969,S103,T012,PT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Junior,Continuing,UNDECL-BA,Pass,A+,F,E12974,S103,T012,PT
,Spring 2021,CS2,3115,11/19/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,A,M,E12985,S126,T009,PT
A,Spring 2021,CS1,1115,11/24/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,B,M,E12988,S105,T010,PT
A,Spring 2021,CS1,1115,2/1/2021,U,Lower Sophomore,Continuing,COMPSC-BS,Fail,F,F,E12992,S119,T117,TT
,Spring 2021,CS2,3115,11/19/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,B+,M,E12997,S116,T116,TT
A,Spring 2021,CS1,1115,12/9/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Fail,D,M,E12999,S115,T117,TT
A,Spring 2021,CS1,1115,1/19/2021,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,A,M,E13008,S118,T008,PT
A,Spring 2021,CS1,1115,11/19/2020,U,Upper Freshman,Continuing,COMPSC-BS,Pass,A,M,E13019,S129,T006,PT
A,Spring 2021,CS1,1115,11/19/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,B,M,E13020,S114,T112,TT
,Spring 2021,CS2,3115,11/19/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,C,M,E13033,S126,T009,PT
A,Spring 2021,CS1,1115,1/8/2021,U,Upper Freshman,Continuing,COMPSC-BS,Pass,C+,M,E13034,S128,T014,PT
A,Spring 2021,CS1,1115,1/4/2021,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,B,M,E13038,S121,T101,TT
,Spring 2021,CS2,3115,11/19/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,A,M,E13039,S126,T009,PT
A,Spring 2021,CS1,1115,11/19/2020,U,Lower Sophomore,Continuing,COMPSC-BS,Pass,A,F,E13046,S129,T006,PT
A,Spring 2021,CS1,1115,12/5/2020,U,Lower Sophomore,Continuing,INFOSCI-BS,Fail,D,M,E13049,S119,T117,TT
A,Spring 2021,CS1,1115,1/15/2021,U,Lower Freshman,0,Other,Drop,W,F,E10072,S121,T101,TT
A,Spring 2021,CS1,1115,12/24/2020,U,Lower Senior,Continuing,Other,Pass,B+,F,E10106,S128,T014,PT
,Spring 2021,CS3,3130,11/19/2020,U,2nd Degree,Continuing,COMPSC-BS,Pass,B+,F,E10179,S119,T116,TT
,Spring 2021,CS3,3130,11/16/2020,U,Upper Senior,Continuing,COMPSC-BS,Pass,A,M,E10187,S126,T012,PT
A,Spring 2021,CS1,1115,2/2/2021,U,Lower Junior,Readmitted,UNDECL-BA,Drop,W,M,E10266,S105,T010,PT
A,Spring 2021,CS1,1115,1/25/2021,U,Upper Senior,Continuing,Other,Drop,W,M,E10275,S129,T006,PT
,Spring 2021,CS3,3130,1/20/2021,U,Lower Senior,Readmitted,Other,Drop,W,M,E10283,S106,T010,PT
,Spring 2021,CS3,3130,12/2/2020,U,Upper Senior,Continuing,Other,Drop,W,M,E10319,S106,T010,PT
